Loss : tensor(0.5456, grad_fn=<AddBackward0>)
Loss : tensor(0.4929, grad_fn=<AddBackward0>)
Loss : tensor(0.6171, grad_fn=<AddBackward0>)
Loss : tensor(0.6560, grad_fn=<AddBackward0>)
Loss : tensor(0.6861, grad_fn=<AddBackward0>)
Loss : tensor(0.5536, grad_fn=<AddBackward0>)
Loss : tensor(0.5870, grad_fn=<AddBackward0>)
Loss : tensor(0.4514, grad_fn=<AddBackward0>)
Loss : tensor(0.5839, grad_fn=<AddBackward0>)
Loss : tensor(0.6389, grad_fn=<AddBackward0>)
Loss : tensor(0.5151, grad_fn=<AddBackward0>)
Loss : tensor(0.5643, grad_fn=<AddBackward0>)
Loss : tensor(0.5346, grad_fn=<AddBackward0>)
Loss : tensor(0.5093, grad_fn=<AddBackward0>)
Loss : tensor(0.5930, grad_fn=<AddBackward0>)
Loss : tensor(0.7176, grad_fn=<AddBackward0>)
Loss : tensor(0.4743, grad_fn=<AddBackward0>)
Loss : tensor(0.5399, grad_fn=<AddBackward0>)
Loss : tensor(0.5643, grad_fn=<AddBackward0>)
Loss : tensor(0.6139, grad_fn=<AddBackward0>)
Loss : tensor(0.5744, grad_fn=<AddBackward0>)
Loss : tensor(0.6078, grad_fn=<AddBackward0>)
Loss : tensor(0.5582, grad_fn=<AddBackward0>)
Loss : tensor(0.5835, grad_fn=<AddBackward0>)
Loss : tensor(0.6904, grad_fn=<AddBackward0>)
Loss : tensor(0.5883, grad_fn=<AddBackward0>)
Loss : tensor(0.5203, grad_fn=<AddBackward0>)
Loss : tensor(0.5768, grad_fn=<AddBackward0>)
Loss : tensor(0.5134, grad_fn=<AddBackward0>)
Loss : tensor(0.6506, grad_fn=<AddBackward0>)
Loss : tensor(0.5381, grad_fn=<AddBackward0>)
Loss : tensor(0.5060, grad_fn=<AddBackward0>)
Loss : tensor(0.5027, grad_fn=<AddBackward0>)
Loss : tensor(0.5880, grad_fn=<AddBackward0>)
Loss : tensor(0.5459, grad_fn=<AddBackward0>)
Loss : tensor(0.4529, grad_fn=<AddBackward0>)
Loss : tensor(0.5206, grad_fn=<AddBackward0>)
Loss : tensor(0.4796, grad_fn=<AddBackward0>)
Loss : tensor(0.4739, grad_fn=<AddBackward0>)
Loss : tensor(0.5098, grad_fn=<AddBackward0>)
Loss : tensor(0.5495, grad_fn=<AddBackward0>)
Loss : tensor(0.5367, grad_fn=<AddBackward0>)
Loss : tensor(0.6639, grad_fn=<AddBackward0>)
Loss : tensor(0.7370, grad_fn=<AddBackward0>)
Loss : tensor(0.5410, grad_fn=<AddBackward0>)
Loss : tensor(0.4667, grad_fn=<AddBackward0>)
Loss : tensor(0.4671, grad_fn=<AddBackward0>)
Loss : tensor(0.5457, grad_fn=<AddBackward0>)
Loss : tensor(0.5105, grad_fn=<AddBackward0>)
Loss : tensor(0.5201, grad_fn=<AddBackward0>)
Loss : tensor(0.5112, grad_fn=<AddBackward0>)
Loss : tensor(0.6471, grad_fn=<AddBackward0>)
Loss : tensor(0.5709, grad_fn=<AddBackward0>)
Loss : tensor(0.6340, grad_fn=<AddBackward0>)
Loss : tensor(0.5034, grad_fn=<AddBackward0>)
Loss : tensor(0.5151, grad_fn=<AddBackward0>)
Loss : tensor(0.5519, grad_fn=<AddBackward0>)
Loss : tensor(0.5638, grad_fn=<AddBackward0>)
Loss : tensor(0.5952, grad_fn=<AddBackward0>)
Loss : tensor(0.5593, grad_fn=<AddBackward0>)
Loss : tensor(0.6125, grad_fn=<AddBackward0>)
Loss : tensor(0.4791, grad_fn=<AddBackward0>)
Loss : tensor(0.7008, grad_fn=<AddBackward0>)
Loss : tensor(0.5850, grad_fn=<AddBackward0>)
Loss : tensor(0.5208, grad_fn=<AddBackward0>)
Loss : tensor(0.5716, grad_fn=<AddBackward0>)
Loss : tensor(0.5160, grad_fn=<AddBackward0>)
Loss : tensor(0.5767, grad_fn=<AddBackward0>)
Loss : tensor(0.4929, grad_fn=<AddBackward0>)
Loss : tensor(0.5069, grad_fn=<AddBackward0>)
Loss : tensor(0.4713, grad_fn=<AddBackward0>)
Loss : tensor(0.5341, grad_fn=<AddBackward0>)
Loss : tensor(0.6544, grad_fn=<AddBackward0>)
Loss : tensor(0.5555, grad_fn=<AddBackward0>)
Loss : tensor(0.5186, grad_fn=<AddBackward0>)
Loss : tensor(0.5873, grad_fn=<AddBackward0>)
Loss : tensor(0.4921, grad_fn=<AddBackward0>)
Loss : tensor(0.4387, grad_fn=<AddBackward0>)
Loss : tensor(0.6256, grad_fn=<AddBackward0>)
Loss : tensor(0.5571, grad_fn=<AddBackward0>)
Loss : tensor(0.5320, grad_fn=<AddBackward0>)
Loss : tensor(0.5913, grad_fn=<AddBackward0>)
Loss : tensor(0.4833, grad_fn=<AddBackward0>)
Loss : tensor(0.5022, grad_fn=<AddBackward0>)
Loss : tensor(0.5809, grad_fn=<AddBackward0>)
Loss : tensor(0.5030, grad_fn=<AddBackward0>)
Loss : tensor(0.5945, grad_fn=<AddBackward0>)
Loss : tensor(0.5839, grad_fn=<AddBackward0>)
Loss : tensor(0.5683, grad_fn=<AddBackward0>)
Loss : tensor(0.5346, grad_fn=<AddBackward0>)
Loss : tensor(0.4896, grad_fn=<AddBackward0>)
Loss : tensor(0.4938, grad_fn=<AddBackward0>)
Loss : tensor(0.5780, grad_fn=<AddBackward0>)
Loss : tensor(0.5205, grad_fn=<AddBackward0>)
